"";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"1452894_at";3,01986380025086;3,41939707550068;10,6134531547474;7,1827702530403e-08;2,27645806921845e-06;8,49704059598707
"1434430_s_at";-4,20540589215665;6,829488007715;-10,6058366841755;7,24489094599545e-08;2,28488031263201e-06;8,48820011994869
"1452732_at";3,6741881049632;6,54868121539579;10,5007723386651;8,16285738537226e-08;2,53183502209108e-06;8,36569456628358
"1459876_at";3,46331247230138;8,23459031622935;10,3863140033486;9,30591274590995e-08;2,78038013719893e-06;8,23104306624605
"1417377_at";4,30085542946262;6,54796890923151;10,3859401331857;9,30991483900876e-08;2,78038013719893e-06;8,23060118111108
"1455318_at";3,34836669793364;7,45490932807759;10,3653822372601;9,53282764709465e-08;2,82869921519734e-06;8,20628265247704
"1417414_at";3,02812161446226;7,6423229938399;10,2552946645168;1,08274690581362e-07;3,1258070288604e-06;8,0753610149148
"1427327_at";-3,61811604792457;10,2402490233379;-10,2286023890352;1,11688196563302e-07;3,19973894429063e-06;8,04343947951818
"1427221_at";3,17161627974131;3,19226666863136;10,2260768643789;1,12017061775557e-07;3,20101547850505e-06;8,04041556923817
"1436188_a_at";3,30921810711366;5,64284535532206;10,0021180206378;1,4571949002252e-07;3,91564615313498e-06;7,76975269800872
"1444189_at";4,71905280231712;5,99919448114934;9,93894991531785;1,57072333316461e-07;4,17659029830832e-06;7,69250446735574
"1434431_x_at";-3,41899641536001;6,34470083941537;-9,83717316251309;1,77393211780576e-07;4,63092814556834e-06;7,56718917096707
"1452655_at";3,38583602608182;3,30683574406443;9,71455463407422;2,05664844371554e-07;5,12296566986577e-06;7,41479863793938
"1419627_s_at";-4,04627777224766;9,55875028130872;-9,69009407710308;2,11858733017516e-07;5,25400324899606e-06;7,38421241973987
"1426615_s_at";3,58024493353532;5,25775538110647;9,67716726380388;2,15212051699527e-07;5,31505502288183e-06;7,36802311897963
"1426172_a_at";-5,24485299974898;9,08006779249445;-9,56135666095209;2,47903464158376e-07;5,93860660204075e-06;7,22220129734471
"1417262_at";-3,69719919309806;9,40535691801632;-9,33381955451344;3,2856388266168e-07;7,44326107623312e-06;6,93154114102234
"1458683_at";-4,1281720715434;8,85435539712686;-9,28954353829634;3,47285709353977e-07;7,71477019978251e-06;6,87433180093647
"1417263_at";-4,06755869298245;9,76658734427309;-9,28927869219199;3,47401056158605e-07;7,71477019978251e-06;6,87398894736214
"1456318_at";3,0946788530569;5,90942025626706;9,13274427257721;4,23269013658129e-07;9,00866885591092e-06;6,66999850661958
"1445639_at";3,1039741819967;6,39181298879608;9,03191995743973;4,81341355961242e-07;9,92568191715682e-06;6,53716579685424
"1457044_at";3,39212466893934;5,23904186534804;8,96215966995933;5,26450111208874e-07;1,05468003596098e-05;6,44458948385437
"1456046_at";-3,88715150696515;8,70807195941693;-8,65509879194518;7,85750231693102e-07;1,45065683235812e-05;6,03047432304305
"1417063_at";-3,30440373669919;10,1704922151014;-8,63593615485669;8,05909372329629e-07;1,48021755677966e-05;6,00426756735108
"1450214_at";-3,1317943154994;7,45100753274252;-8,4775254805547;9,95199571044156e-07;1,75901914762734e-05;5,78596244254236
"1421134_at";-3,28443279813806;7,17873561883103;-8,36522017030483;1,15773023222174e-06;1,97199465727451e-05;5,62937872618877
"1449497_at";3,04525613884761;9,20826816751442;8,34425838404801;1,1910735650742e-06;2,00842688647963e-05;5,59998378670237
"1447669_s_at";3,88826564288072;5,2238805812454;8,06888500633576;1,73770647710856e-06;2,73251916560967e-05;5,20883076089718
"1443837_x_at";-3,5725501671302;5,35291264939175;-7,69037839564763;2,96355650775414e-06;4,06854727004329e-05;4,65569712864478
"1417381_at";-3,05337979474471;9,66173819563675;-7,5224996724803;3,77634482773068e-06;4,94407125118676e-05;4,40447958649958
"1425951_a_at";-3,16756095997383;9,14399783082329;-7,52248113171226;3,77644664359234e-06;4,94407125118676e-05;4,40445163872454
